ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Profit,Prior_purchases,Product_importance,Order_date,Ship_Date,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product Category,Product sub Category
975,A,Flight,5,3,96,4.8,4,Not Specified,23-12-2023,28-12-2023,F,12,1655,1,Technology,Bookcases
976,B,Flight,5,5,249,12.45,3,Not Specified,04-11-2023,13-11-2023,M,55,3558,1,Technology,Bookcases
977,C,Ship,3,2,165,8.25,2,low,24-10-2021,29-10-2021,F,24,1966,1,Office Supplies,Bookcases
978,F,Ship,4,5,223,11.15,3,Not Specified,20-04-2022,22-04-2022,F,63,2427,1,Technology,Bookcases
979,D,Ship,3,3,267,13.35,2,low,13-09-2023,19-09-2023,F,52,2949,1,Office Supplies,Bookcases
980,F,Ship,4,4,140,7,2,low,25-04-2022,29-04-2022,F,47,1831,1,Office Supplies,Bookcases
981,A,Ship,4,4,209,10.45,3,low,12-10-2023,15-10-2023,F,44,2075,1,Office Supplies,Bookcases
982,B,Ship,3,5,243,12.15,3,Not Specified,01-12-2022,06-12-2022,M,4,3189,1,Technology,Bookcases
983,C,Ship,3,2,175,8.75,4,Not Specified,10-02-2023,19-02-2023,F,17,1276,1,Technology,Bookcases
984,F,Ship,5,4,133,6.65,3,low,13-08-2023,20-08-2023,M,9,1051,1,Office Supplies,Bookcases
985,D,Ship,3,3,167,8.35,3,Not Specified,04-01-2021,11-01-2021,F,24,1111,1,Technology,Bookcases
986,F,Ship,6,1,172,8.6,6,Critical,30-06-2022,09-07-2022,F,50,1052,1,Office Supplies,Bookcases
987,A,Ship,5,4,257,12.85,2,low,31-05-2021,06-06-2021,M,55,2257,1,Office Supplies,Bookcases
988,B,Ship,3,3,202,10.1,2,Not Specified,24-07-2022,03-08-2022,M,39,3857,1,Technology,Bookcases
989,C,Ship,3,1,223,11.15,3,Not Specified,21-06-2021,25-06-2021,F,31,3942,1,Technology,Bookcases
990,F,Ship,3,2,182,9.1,2,low,27-10-2021,06-11-2021,F,40,2592,1,Office Supplies,Bookcases
991,D,Ship,3,2,234,11.7,3,Not Specified,27-09-2022,29-09-2022,M,33,2789,1,Technology,Bookcases
992,F,Ship,3,5,140,7,3,low,23-03-2021,25-03-2021,F,30,1035,1,Office Supplies,Bookcases
993,A,Ship,4,3,136,6.8,3,Not Specified,07-03-2022,14-03-2022,M,9,1548,1,Technology,Bookcases
994,B,Ship,4,3,210,10.5,3,Not Specified,12-12-2020,16-12-2020,F,6,2568,1,Technology,Bookcases
995,C,Ship,5,1,259,12.95,3,Critical,29-07-2023,02-08-2023,F,37,3023,1,Office Supplies,Bookcases
996,F,Ship,4,2,141,7.05,2,Not Specified,29-04-2022,04-05-2022,M,52,1012,1,Technology,Bookcases
997,D,Ship,4,3,151,7.55,4,Not Specified,06-08-2021,11-08-2021,M,13,1583,1,Technology,Bookcases
998,F,Ship,3,5,164,8.2,3,Not Specified,19-03-2023,23-03-2023,F,43,1423,1,Technology,Bookcases
999,A,Ship,3,3,141,7.05,2,Not Specified,16-03-2023,24-03-2023,F,48,1758,1,Technology,Bookcases
1000,B,Ship,3,3,271,13.55,2,Not Specified,17-07-2022,21-07-2022,M,15,3542,1,Technology,Bookcases
1001,C,Ship,4,3,191,9.55,4,low,11-05-2022,16-05-2022,F,15,2544,1,Office Supplies,Bookcases
1002,F,Ship,3,1,181,9.05,3,Not Specified,18-11-2020,20-11-2020,M,22,3266,1,Technology,Bookcases
1003,D,Ship,3,3,241,12.05,5,low,19-10-2022,26-10-2022,M,8,2182,1,Office Supplies,Bookcases
1004,F,Ship,3,3,254,12.7,3,Not Specified,22-07-2022,27-07-2022,M,3,2837,1,Technology,Bookcases
1005,A,Ship,3,2,146,7.3,6,Not Specified,07-03-2023,13-03-2023,F,62,1162,1,Technology,Bookcases
1006,B,Ship,5,1,271,13.55,2,Critical,11-09-2021,21-09-2021,M,46,2744,1,Office Supplies,Bookcases
1007,C,Ship,3,1,185,9.25,2,Not Specified,30-10-2020,07-11-2020,F,42,2803,1,Technology,Bookcases
1008,F,Ship,4,5,170,8.5,3,low,17-01-2023,26-01-2023,F,9,1138,1,Office Supplies,Bookcases
1009,D,Ship,4,1,265,13.25,2,Critical ,02-07-2023,12-07-2023,M,18,3327,1,Office Supplies,Bookcases
1010,F,Ship,4,4,142,7.1,4,low,21-06-2023,30-06-2023,F,8,1777,1,Office Supplies,Bookcases
1011,A,Ship,2,5,228,11.4,2,low,20-03-2022,23-03-2022,F,49,3024,1,Office Supplies,Bookcases
1012,B,Ship,4,5,262,13.1,4,low,08-02-2020,10-02-2020,M,16,2871,1,Office Supplies,Bookcases
1013,C,Ship,3,3,205,10.25,2,Critical ,16-06-2023,19-06-2023,F,54,2427,1,Office Supplies,Bookcases
1014,F,Ship,4,1,178,8.9,2,Critical,24-12-2021,02-01-2022,M,39,1362,1,Office Supplies,Bookcases
1015,D,Ship,2,2,153,7.65,2,low,15-02-2020,21-02-2020,M,46,1130,1,Office Supplies,Bookcases
1016,F,Ship,3,4,186,9.3,2,low,04-10-2021,06-10-2021,M,63,3447,1,Office Supplies,Bookcases
1017,A,Ship,4,1,167,8.35,3,Critical,29-04-2022,06-05-2022,F,22,1403,1,Office Supplies,Bookcases
1018,B,Ship,3,3,148,7.4,2,low,18-02-2020,22-02-2020,M,42,1950,1,Office Supplies,Bookcases
1019,C,Ship,3,2,167,8.35,2,low,21-05-2022,24-05-2022,M,2,1010,1,Office Supplies,Bookcases
1020,F,Ship,3,2,261,13.05,5,Critical ,11-10-2020,13-10-2020,M,45,2488,1,Office Supplies,Bookcases
1021,D,Ship,3,4,166,8.3,3,Critical ,24-06-2022,27-06-2022,M,43,1095,1,Office Supplies,Bookcases
1022,F,Ship,3,1,226,11.3,2,low,07-11-2023,16-11-2023,M,18,2319,1,Office Supplies,Bookcases
1023,A,Ship,3,4,260,13,3,low,11-02-2020,21-02-2020,F,21,2003,1,Office Supplies,Bookcases
1024,B,Ship,5,1,246,12.3,3,Critical ,11-03-2021,15-03-2021,F,44,3993,1,Office Supplies,Bookcases
1025,C,Ship,3,2,221,11.05,3,low,10-10-2021,17-10-2021,F,21,3686,1,Office Supplies,Bookcases
1026,F,Ship,5,4,191,9.55,4,Critical ,02-03-2023,09-03-2023,M,63,2039,1,Office Supplies,Bookcases
1027,D,Ship,3,1,138,6.9,5,Critical ,27-01-2021,29-01-2021,F,8,1349,1,Office Supplies,Bookcases
1028,F,Ship,3,1,146,7.3,3,Critical ,26-08-2022,30-08-2022,M,16,1714,1,Office Supplies,Bookcases
1029,A,Ship,3,3,193,9.65,3,Critical ,21-08-2023,26-08-2023,M,11,3188,1,Office Supplies,Bookcases
1030,B,Ship,3,1,229,11.45,2,Critical ,11-05-2022,13-05-2022,F,12,3111,1,Office Supplies,Bookcases
1031,C,Ship,4,1,239,11.95,2,Critical,02-10-2021,08-10-2021,M,16,2504,1,Office Supplies,Bookcases
1032,F,Ship,6,2,103,5.15,4,Critical ,12-06-2021,15-06-2021,M,37,1093,1,Office Supplies,Bookcases
1033,D,Ship,5,4,254,12.7,5,low,18-05-2023,22-05-2023,F,36,2039,1,Office Supplies,Bookcases
1034,F,Ship,2,2,198,9.9,2,low,15-03-2023,25-03-2023,M,11,3686,1,Office Supplies,Bookcases
1035,A,Ship,3,3,208,10.4,3,Critical ,13-10-2020,16-10-2020,M,61,3783,1,Office Supplies,Bookcases
1036,B,Ship,3,5,253,12.65,2,Critical ,24-03-2020,26-03-2020,M,17,2205,1,Office Supplies,Bookcases
1037,C,Ship,4,3,261,13.05,2,Critical,06-07-2023,12-07-2023,M,47,2336,1,Office Supplies,Bookcases
1038,F,Ship,3,1,156,7.8,3,Critical ,01-10-2023,11-10-2023,M,49,1253,1,Office Supplies,Bookcases
1039,D,Ship,4,3,97,4.85,2,low,29-08-2023,02-09-2023,M,26,1598,1,Office Supplies,Bookcases
1040,F,Ship,2,5,275,13.75,2,low,19-10-2023,29-10-2023,M,41,2546,1,Office Supplies,Bookcases
1041,A,Ship,2,1,189,9.45,2,Critical,31-03-2021,08-04-2021,M,48,2429,1,Office Supplies,Bookcases
1042,B,Ship,3,1,236,11.8,3,Critical ,03-12-2022,12-12-2022,M,28,3290,1,Office Supplies,Bookcases
1043,C,Ship,5,1,170,8.5,3,Critical ,22-09-2020,24-09-2020,F,60,1883,1,Office Supplies,Bookcases
1044,F,Ship,4,2,251,12.55,2,low,19-02-2023,01-03-2023,M,53,2673,1,Office Supplies,Bookcases
1045,D,Ship,3,3,205,10.25,2,Critical ,14-08-2021,22-08-2021,F,58,2187,1,Office Supplies,Bookcases
1046,F,Ship,4,5,135,6.75,3,Critical ,25-10-2020,01-11-2020,F,53,1744,1,Office Supplies,Bookcases
1047,A,Ship,3,3,231,11.55,2,Critical ,18-05-2020,26-05-2020,F,24,2177,1,Office Supplies,Bookcases
1048,B,Ship,3,4,257,12.85,3,Critical ,02-01-2020,11-01-2020,M,56,2941,1,Office Supplies,Bookcases
1049,C,Ship,5,2,162,8.1,3,Critical,05-09-2021,15-09-2021,M,57,1233,1,Office Supplies,Bookcases
1050,F,Ship,6,5,237,11.85,5,Critical,06-05-2023,12-05-2023,F,63,2573,1,Office Supplies,Bookcases
1051,D,Ship,3,4,134,6.7,4,Critical ,01-04-2023,03-04-2023,M,53,1887,1,Office Supplies,Bookcases
1052,F,Ship,2,1,163,8.15,3,Critical ,30-01-2020,09-02-2020,F,24,1119,1,Office Supplies,Bookcases
1053,A,Ship,5,5,264,13.2,3,Critical ,19-07-2023,28-07-2023,F,27,2019,1,Office Supplies,Bookcases
1054,B,Ship,5,2,173,8.65,4,low,13-08-2021,22-08-2021,M,21,1674,1,Office Supplies,Bookcases
1055,C,Ship,2,4,191,9.55,3,low,28-06-2023,06-07-2023,F,58,2586,1,Office Supplies,Bookcases
1056,F,Ship,3,3,152,7.6,3,Critical ,26-07-2023,05-08-2023,M,5,1385,1,Office Supplies,Bookcases
1057,D,Ship,3,4,272,13.6,4,low,31-10-2020,06-11-2020,F,23,2048,1,Office Supplies,Bookcases
1058,F,Ship,4,2,198,9.9,2,low,10-12-2021,17-12-2021,M,60,3368,1,Office Supplies,Bookcases
1059,A,Ship,4,3,260,13,4,Critical ,28-08-2021,06-09-2021,M,40,3668,1,Office Supplies,Bookcases
1060,B,Ship,4,3,158,7.9,6,Critical ,12-01-2022,14-01-2022,M,43,1478,1,Office Supplies,Bookcases
1061,C,Ship,5,3,252,12.6,4,Critical ,27-12-2022,03-01-2023,M,63,3729,1,Office Supplies,Bookcases
1062,F,Ship,4,2,199,9.95,3,low,08-07-2023,16-07-2023,M,64,2470,1,Office Supplies,Bookcases
1063,D,Ship,4,2,272,13.6,4,low,15-01-2020,25-01-2020,M,62,2307,1,Office Supplies,Bookcases
1064,F,Ship,3,4,209,10.45,3,low,01-05-2022,07-05-2022,M,37,2215,1,Office Supplies,Bookcases
1065,A,Ship,3,2,147,7.35,4,low,07-08-2021,16-08-2021,M,13,1657,1,Office Supplies,Bookcases
1066,B,Ship,4,2,166,8.3,4,low,21-09-2023,30-09-2023,F,63,1759,1,Office Supplies,Bookcases
1067,C,Ship,3,4,165,8.25,2,low,02-09-2020,10-09-2020,M,48,1706,1,Office Supplies,Bookcases
1068,F,Ship,4,5,162,8.1,2,Critical ,06-12-2021,08-12-2021,F,57,1715,1,Office Supplies,Bookcases
1069,D,Ship,3,3,255,12.75,3,Critical ,16-06-2022,18-06-2022,M,23,3764,1,Office Supplies,Bookcases
1070,F,Road,5,5,179,8.95,5,low,25-02-2020,02-03-2020,M,38,1437,1,Office Supplies,Bookcases
1071,A,Road,3,4,250,12.5,2,Critical,09-01-2021,12-01-2021,M,61,3207,1,Office Supplies,Bookcases
1072,B,Road,3,5,251,12.55,2,low,28-08-2022,30-08-2022,F,28,3936,1,Office Supplies,Bookcases
1073,C,Road,4,4,198,9.9,2,low,25-04-2022,30-04-2022,F,5,2270,1,Office Supplies,Bookcases
1074,F,Road,3,1,148,7.4,2,Critical ,20-10-2023,28-10-2023,M,34,1053,1,Office Supplies,Bookcases
1075,D,Road,4,5,268,13.4,3,Critical ,10-04-2023,20-04-2023,F,3,2758,1,Office Supplies,Bookcases
1076,F,Road,5,2,239,11.95,3,low,04-07-2022,12-07-2022,F,47,3673,1,Office Supplies,Bookcases
1077,A,Road,3,4,195,9.75,3,Critical ,23-11-2022,02-12-2022,M,10,2021,1,Office Supplies,Bookcases
1078,B,Road,4,3,252,12.6,2,Critical ,14-06-2023,23-06-2023,F,51,2658,1,Office Supplies,Bookcases
1079,C,Road,3,5,272,13.6,3,Critical ,31-12-2022,07-01-2023,M,48,3780,1,Office Supplies,Bookcases
1080,F,Road,2,4,141,7.05,3,Critical ,14-11-2020,24-11-2020,F,27,1628,1,Office Supplies,Bookcases
1081,D,Road,3,1,224,11.2,3,low,03-02-2021,08-02-2021,F,45,3624,1,Office Supplies,Bookcases
1082,F,Road,6,3,270,13.5,3,low,08-11-2022,18-11-2022,F,56,3251,1,Office Supplies,Bookcases
1083,A,Road,6,3,236,11.8,3,Critical ,13-04-2023,19-04-2023,M,6,2639,1,Office Supplies,Bookcases
1084,B,Road,3,1,227,11.35,3,Critical ,19-01-2023,25-01-2023,F,47,3512,1,Office Supplies,Bookcases
1085,C,Road,3,4,262,13.1,3,low,08-03-2021,11-03-2021,M,7,2424,1,Office Supplies,Bookcases
1086,F,Road,3,1,228,11.4,2,low,11-12-2023,14-12-2023,M,45,2257,1,Office Supplies,Bookcases
1087,D,Road,4,2,176,8.8,3,low,21-01-2020,25-01-2020,M,23,1909,1,Office Supplies,Bookcases
1088,F,Road,4,2,147,7.35,3,Critical ,11-03-2022,21-03-2022,M,44,1873,1,Office Supplies,Bookcases
1089,A,Road,5,2,196,9.8,3,Critical ,05-08-2021,13-08-2021,M,44,2085,1,Office Supplies,Bookcases
1090,B,Road,3,1,112,5.6,5,Critical ,12-06-2020,22-06-2020,F,41,1249,1,Office Supplies,Bookcases
1091,C,Road,4,2,221,11.05,2,Critical ,01-02-2023,10-02-2023,M,54,3065,1,Office Supplies,Bookcases
1092,F,Flight,3,5,154,7.7,3,Critical ,06-07-2021,10-07-2021,M,46,1312,1,Office Supplies,Bookcases
1093,D,Flight,4,4,200,10,3,low,08-05-2022,12-05-2022,M,19,2976,1,Office Supplies,Bookcases
1094,F,Flight,2,5,216,10.8,2,Critical ,22-02-2020,25-02-2020,F,57,3807,1,Office Supplies,Bookcases
1095,A,Flight,3,1,185,9.25,3,Critical ,29-07-2020,07-08-2020,M,3,3051,1,Office Supplies,Bookcases
1096,B,Flight,4,2,199,9.95,3,low,02-05-2022,08-05-2022,M,23,2994,1,Office Supplies,Bookcases
1097,C,Flight,5,2,265,13.25,3,low,05-07-2021,10-07-2021,F,12,2892,1,Office Supplies,Bookcases
1098,F,Flight,3,2,263,13.15,3,low,06-04-2020,13-04-2020,F,57,2113,1,Office Supplies,Bookcases
1099,D,Flight,4,2,181,9.05,2,low,19-03-2020,22-03-2020,F,28,2815,1,Office Supplies,Bookcases
1100,F,Flight,4,3,163,8.15,2,low,26-02-2020,02-03-2020,F,12,1092,1,Office Supplies,Bookcases
1101,A,Flight,5,2,260,13,2,Critical ,11-12-2020,18-12-2020,M,23,3962,1,Office Supplies,Bookcases
1102,B,Flight,6,2,159,7.95,5,Critical ,30-09-2020,02-10-2020,F,22,1247,1,Office Supplies,Bookcases
1103,C,Flight,4,1,227,11.35,3,Critical ,09-04-2023,17-04-2023,M,54,3043,1,Office Supplies,Bookcases
1104,F,Flight,3,3,104,5.2,5,Critical ,08-05-2022,15-05-2022,F,41,1936,1,Office Supplies,Bookcases
1105,D,Flight,3,4,188,9.4,4,low,16-08-2021,23-08-2021,F,49,3067,1,Office Supplies,Bookcases
1106,F,Flight,5,3,202,10.1,3,Critical,11-11-2022,15-11-2022,M,41,3536,1,Office Supplies,Bookcases
1107,A,Flight,3,3,213,10.65,6,low,20-05-2023,27-05-2023,F,17,2424,1,Office Supplies,Bookcases
1108,B,Flight,3,1,211,10.55,2,low,12-03-2021,14-03-2021,F,45,3332,1,Office Supplies,Bookcases
1109,C,Flight,4,4,232,11.6,3,Critical ,22-04-2021,30-04-2021,F,61,2484,1,Office Supplies,Bookcases
1110,F,Flight,4,3,143,7.15,2,Critical,28-12-2023,01-01-2024,M,39,1727,1,Office Supplies,Bookcases
1111,D,Flight,5,1,196,9.8,3,Critical ,14-01-2023,24-01-2023,M,24,2957,1,Office Supplies,Bookcases
1112,F,Flight,4,1,150,7.5,6,Critical ,25-07-2022,30-07-2022,F,42,1070,1,Furniture,Bookcases
1113,A,Flight,5,1,222,11.1,3,Critical,22-01-2022,28-01-2022,M,21,2351,1,Furniture,Bookcases
1114,B,Ship,3,2,203,10.15,3,Critical,28-07-2021,02-08-2021,M,3,2791,1,Furniture,Bookcases
1115,C,Ship,5,2,178,8.9,3,Critical ,01-02-2020,09-02-2020,M,60,1176,1,Furniture,Bookcases
1116,F,Ship,4,2,272,13.6,2,low,06-09-2021,12-09-2021,M,21,3271,1,Furniture,Bookcases
1117,D,Ship,4,2,182,9.1,3,low,21-09-2020,01-10-2020,M,58,3943,1,Furniture,Bookcases
1118,F,Ship,4,4,205,10.25,3,low,04-02-2022,09-02-2022,F,11,2255,1,Furniture,Bookcases
1119,A,Ship,3,2,171,8.55,3,Critical ,20-02-2023,28-02-2023,M,11,1282,1,Furniture,Bookcases
1120,B,Ship,4,1,172,8.6,2,low,14-06-2021,22-06-2021,M,48,1993,1,Furniture,Bookcases
1121,C,Ship,3,2,210,10.5,2,Critical ,09-02-2023,14-02-2023,M,30,3928,1,Furniture,Bookcases
1122,F,Ship,2,1,264,13.2,3,Critical ,30-12-2022,09-01-2023,M,10,3409,1,Furniture,Bookcases
1123,D,Ship,4,1,181,9.05,4,low,13-11-2023,18-11-2023,F,46,2399,1,Furniture,Bookcases
1124,F,Ship,3,5,240,12,3,Critical ,14-11-2021,19-11-2021,F,54,2919,1,Furniture,Bookcases
1125,A,Ship,4,4,140,7,4,Critical ,10-10-2023,14-10-2023,F,46,1442,1,Furniture,Bookcases
1126,B,Ship,6,4,283,14.15,5,Critical ,22-06-2020,28-06-2020,F,35,2686,1,Furniture,Bookcases
1127,C,Ship,4,3,263,13.15,4,Critical ,23-05-2022,01-06-2022,M,23,2960,1,Furniture,Bookcases
1128,F,Ship,4,4,136,6.8,3,Critical,14-06-2021,21-06-2021,F,35,1234,1,Furniture,Bookcases
1129,D,Ship,4,4,145,7.25,4,low,19-08-2022,24-08-2022,F,35,1210,1,Furniture,Bookcases
1130,F,Ship,3,3,162,8.1,2,low,29-03-2020,06-04-2020,F,42,1763,1,Furniture,Bookcases
1131,A,Ship,5,1,230,11.5,6,low,10-01-2022,20-01-2022,F,60,2067,1,Furniture,Bookcases
1132,B,Ship,3,3,148,7.4,5,Critical ,31-01-2020,02-02-2020,M,61,1452,1,Furniture,Bookcases
1133,C,Ship,3,3,175,8.75,3,Critical,25-10-2020,30-10-2020,F,45,1212,1,Furniture,Bookcases
1134,F,Ship,4,2,227,11.35,2,Critical,28-11-2023,05-12-2023,M,35,3583,1,Furniture,Bookcases
1135,D,Ship,4,1,177,8.85,4,low,07-02-2022,11-02-2022,F,13,1569,1,Furniture,Bookcases
1136,F,Ship,6,1,257,12.85,3,Critical ,30-11-2021,09-12-2021,M,60,3416,1,Furniture,Bookcases
1137,A,Ship,5,5,198,9.9,5,Critical ,31-12-2022,05-01-2023,M,36,2803,1,Furniture,Bookcases
1138,B,Ship,3,5,251,12.55,3,Critical ,13-05-2021,15-05-2021,M,59,3651,1,Furniture,Bookcases
1139,C,Ship,5,5,158,7.9,3,Critical ,05-02-2020,11-02-2020,F,47,1246,1,Furniture,Bookcases
1140,F,Ship,4,5,171,8.55,6,Critical ,25-03-2022,02-04-2022,F,27,1840,1,Furniture,Bookcases
1141,D,Ship,4,1,260,13,2,low,23-04-2023,30-04-2023,M,2,2980,1,Furniture,Bookcases
1142,F,Ship,3,4,263,13.15,3,low,03-10-2022,06-10-2022,M,42,2992,1,Furniture,Bookcases
1143,A,Ship,6,3,269,13.45,2,Critical,13-08-2021,17-08-2021,M,43,2300,1,Furniture,Bookcases
1144,B,Ship,3,3,224,11.2,2,low,20-04-2022,22-04-2022,F,37,3220,1,Furniture,Bookcases
1145,C,Ship,4,1,118,5.9,5,low,29-01-2021,05-02-2021,M,50,1413,1,Furniture,Bookcases
1146,F,Ship,5,1,186,9.3,10,low,15-05-2021,23-05-2021,M,64,2529,1,Furniture,Bookcases
1147,D,Ship,5,5,191,9.55,2,Critical,29-07-2021,31-07-2021,M,34,2708,1,Furniture,Bookcases
1148,F,Ship,5,5,174,8.7,6,Critical ,15-04-2021,20-04-2021,F,26,1184,1,Furniture,Bookcases
1149,A,Ship,3,1,140,7,2,Critical ,17-05-2021,27-05-2021,F,55,1339,1,Furniture,Bookcases
1150,B,Ship,4,2,193,9.65,2,Critical,31-07-2023,05-08-2023,F,48,2371,1,Furniture,Bookcases
1151,C,Ship,3,4,148,7.4,10,Critical,04-01-2022,08-01-2022,F,12,1779,1,Furniture,Bookcases
1152,F,Ship,2,2,176,8.8,5,low,08-03-2023,17-03-2023,F,55,1211,1,Furniture,Bookcases
1153,D,Ship,4,1,135,6.75,10,Critical ,23-11-2022,28-11-2022,M,35,1989,1,Furniture,Bookcases
1154,F,Ship,6,5,154,7.7,10,Critical ,14-02-2021,23-02-2021,F,48,1990,1,Furniture,Bookcases
1155,A,Ship,4,5,143,7.15,8,low,03-03-2020,12-03-2020,M,44,1756,1,Furniture,Bookcases
1156,B,Ship,4,3,173,8.65,2,low,20-07-2020,22-07-2020,F,10,1179,1,Furniture,Bookcases
1157,C,Ship,4,5,262,13.1,3,Critical ,15-04-2023,24-04-2023,F,38,3139,1,Furniture,Bookcases
1158,F,Ship,4,1,171,8.55,3,low,27-07-2020,02-08-2020,F,58,1516,1,Furniture,Bookcases
1159,D,Ship,4,3,246,12.3,2,low,14-12-2023,24-12-2023,M,55,2387,1,Furniture,Bookcases
1160,F,Ship,3,4,266,13.3,2,Critical,23-10-2020,02-11-2020,F,55,2779,1,Furniture,Bookcases
1161,A,Ship,4,5,127,6.35,8,low,23-03-2020,26-03-2020,M,39,1411,1,Furniture,Bookcases
1162,B,Ship,5,2,167,8.35,8,low,06-11-2020,12-11-2020,M,28,1921,1,Furniture,Bookcases
1163,C,Ship,4,2,187,9.35,4,Critical ,10-12-2023,18-12-2023,M,37,2200,1,Furniture,Bookcases
1164,F,Ship,3,2,162,8.1,2,low,16-03-2023,24-03-2023,F,54,1614,1,Furniture,Bookcases
1165,D,Ship,5,2,230,11.5,6,low,05-11-2022,12-11-2022,M,10,3604,1,Furniture,Bookcases
1166,F,Ship,3,4,148,7.4,5,Critical ,16-08-2020,22-08-2020,F,50,1540,1,Furniture,Bookcases
1167,A,Ship,3,3,175,8.75,3,Critical,17-10-2021,24-10-2021,F,55,1229,1,Furniture,Bookcases
1168,B,Ship,4,1,227,11.35,2,Critical,20-04-2023,22-04-2023,M,60,3080,1,Furniture,Bookcases
1169,C,Ship,4,3,177,8.85,4,low,11-04-2020,15-04-2020,M,38,1767,1,Furniture,Bookcases
1170,F,Ship,6,1,257,12.85,3,Critical ,20-09-2022,26-09-2022,M,37,2239,1,Furniture,Bookcases
1171,D,Ship,5,1,198,9.9,5,Critical ,25-07-2020,03-08-2020,F,49,3187,1,Furniture,Bookcases
1172,F,Ship,3,1,251,12.55,3,Critical ,09-01-2021,18-01-2021,F,18,2240,1,Furniture,Bookcases
1173,A,Ship,5,2,158,7.9,3,Critical ,25-10-2022,30-10-2022,M,16,1499,1,Furniture,Bookcases
1174,B,Ship,4,3,171,8.55,6,Critical ,23-11-2020,01-12-2020,F,9,1909,1,Furniture,Bookcases
1175,C,Ship,4,3,260,13,2,low,20-04-2020,22-04-2020,M,38,2526,1,Furniture,Bookcases
1176,F,Ship,3,1,263,13.15,3,low,27-06-2020,05-07-2020,M,25,3689,1,Furniture,Bookcases
1177,D,Ship,6,4,269,13.45,2,Critical,20-05-2022,27-05-2022,M,47,4000,1,Furniture,Bookcases
1178,F,Ship,3,2,224,11.2,2,low,14-08-2020,22-08-2020,F,49,3749,1,Furniture,Bookcases
1179,A,Ship,4,3,118,5.9,5,low,30-07-2021,03-08-2021,F,15,1601,1,Furniture,Bookcases
1180,B,Ship,5,4,186,9.3,10,low,18-01-2020,28-01-2020,F,24,3621,1,Furniture,Bookcases
1181,C,Ship,5,2,191,9.55,2,Critical,18-11-2020,27-11-2020,F,6,2059,1,Furniture,Bookcases
1182,F,Ship,5,1,174,8.7,6,Critical ,02-11-2020,05-11-2020,M,44,1635,1,Furniture,Bookcases
1183,D,Ship,3,3,140,7,2,Critical ,06-11-2020,13-11-2020,M,55,1847,1,Furniture,Bookcases
1184,F,Ship,4,1,193,9.65,2,Critical,18-01-2020,26-01-2020,M,37,3510,1,Furniture,Bookcases
1185,A,Ship,3,5,148,7.4,10,Critical,20-04-2022,25-04-2022,F,35,1597,1,Furniture,Bookcases
1186,B,Ship,2,3,176,8.8,5,low,06-03-2021,14-03-2021,M,29,1254,1,Furniture,Bookcases
1187,C,Ship,4,4,135,6.75,10,Critical ,08-10-2021,10-10-2021,F,57,1361,1,Furniture,Bookcases
1188,F,Ship,6,5,154,7.7,10,Critical ,16-10-2022,21-10-2022,F,14,1204,1,Furniture,Bookcases
1189,D,Ship,4,5,143,7.15,8,low,23-12-2021,28-12-2021,M,38,1095,1,Furniture,Bookcases
1190,F,Ship,4,2,173,8.65,2,low,24-05-2023,29-05-2023,F,30,1336,1,Furniture,Bookcases
1191,A,Ship,4,3,262,13.1,3,Critical ,21-07-2022,25-07-2022,M,46,2904,1,Furniture,Bookcases
1192,B,Ship,4,5,171,8.55,3,low,22-04-2021,28-04-2021,F,21,1683,1,Furniture,Bookcases
1193,C,Ship,4,4,246,12.3,2,low,07-03-2021,15-03-2021,M,11,2282,1,Furniture,Bookcases
1194,F,Ship,3,4,266,13.3,2,Critical,23-11-2020,27-11-2020,M,49,2643,1,Furniture,Bookcases
1195,D,Ship,4,1,127,6.35,8,low,06-10-2020,09-10-2020,F,12,1519,1,Furniture,Bookcases
1196,F,Ship,5,5,167,8.35,8,low,26-11-2022,01-12-2022,M,44,1547,1,Furniture,Bookcases
1197,A,Ship,4,2,187,9.35,4,Critical ,24-01-2021,26-01-2021,M,49,3225,1,Furniture,Bookcases
1198,B,Ship,6,2,294,14.7,4,low,18-08-2021,28-08-2021,M,35,1625,1,Furniture,Bookcases
1199,C,Ship,4,2,158,7.9,4,low,28-03-2021,02-04-2021,F,13,1785,1,Furniture,Bookcases
1200,F,Ship,6,5,135,6.75,5,low,01-12-2020,09-12-2020,M,55,1078,1,Furniture,Bookcases
1201,D,Ship,4,2,238,11.9,3,low,17-06-2023,22-06-2023,F,28,1915,1,Furniture,Bookcases
1202,F,Ship,6,1,213,10.65,3,low,25-07-2022,31-07-2022,M,63,1548,1,Furniture,Bookcases
1203,A,Ship,4,4,237,11.85,2,Critical ,28-10-2023,03-11-2023,M,21,1495,1,Furniture,Bookcases
1204,B,Ship,4,1,257,12.85,3,low,22-06-2022,27-06-2022,M,47,1308,1,Furniture,Bookcases
1205,C,Ship,5,2,198,9.9,5,low,25-10-2023,30-10-2023,M,65,1994,1,Furniture,Bookcases
1206,F,Ship,3,3,218,10.9,3,Critical ,27-12-2023,29-12-2023,M,48,3425,1,Furniture,Bookcases
1207,D,Road,4,4,236,11.8,4,low,27-09-2021,07-10-2021,M,65,2280,1,Furniture,Bookcases
1208,F,Road,3,1,100,5,3,low,08-02-2022,11-02-2022,F,17,1129,1,Furniture,Bookcases
